"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-04-30,2371,"La Salle","IL","Ottawa",455,102500,0.0068762278978389,0.0229540918163673,0.0469867211440245,0.0102595899543134,,"2010-03","2010-Q1",118300,-0.133558748943364,
2017-04-30,1474,"Warren","KY","Bowling Green",456,167100,0.00602046959662854,0.0327564894932015,0.126010781671159,0.0474953755290572,0.0300315611944697,"2017-04","2017-Q2",167100,0,"2017-04"
2017-04-30,2363,"Kankakee","IL","Kankakee",457,122600,-0.000814995925020375,0.00245298446443173,0.0337268128161889,-0.0160045327988774,-0.00758558786299945,"2012-08","2012-Q3",144800,-0.153314917127072,"2011-10"
2017-04-30,2260,"Faulkner","AR","Little Rock",458,137900,0.00290909090909091,0.0102564102564103,0.0275707898658718,0.0213121463071571,0.0185915870078923,"2017-04","2017-Q2",137900,0,"2017-04"
2017-04-30,3040,"Terrebonne","LA","Houma",459,150500,0.00467289719626168,0.0365013774104683,0.0734664764621969,0.0210696371823225,0.0185754796228268,"2017-04","2017-Q2",150500,0,"2017-04"
2017-04-30,1513,"Allegan","MI","Holland",460,161100,0.00561797752808989,0.0228571428571429,0.111801242236025,0.0710502872125329,0.0105847813886999,"2017-04","2017-Q2",161100,0,"2017-04"
2017-04-30,1673,"Douglas","KS","Lawrence",461,172400,0.0075978959672706,0.0111436950146628,0.051219512195122,0.0175975083451427,-0.00229105006370667,"2009-06","2009-Q2",187100,-0.0785676109032603,"2006-06"
2017-04-30,1590,"Carroll","GA","Atlanta",462,121400,0.000824402308326463,0.00247729149463253,0.0611888111888112,0.11419153494222,0.00508151980485083,"2008-05","2008-Q2",124200,-0.0225442834138486,"2008-01"
2017-04-30,441,"Clark","IN","Louisville/Jefferson County",463,116100,0,-0.0051413881748072,0.032,0.0250309335349035,,"2016-12","2016-Q4",117500,-0.0119148936170213,"2016-09"
2017-04-30,2855,"Tom Green","TX","San Angelo",464,130200,-0.00153374233128834,0.00852052672347018,0.0227808326787117,0.0463638475963448,,"2017-03","2017-Q1",130400,-0.00153374233128834,"2017-03"
2017-04-30,2434,"Missoula","MT","Missoula",465,247600,0.0040551500405515,0.0176736539251952,0.0576676633917129,0.0263564599119943,0.0116591285124916,"2009-05","2009-Q2",269400,-0.080920564216778,"2008-12"
2017-04-30,1889,"Lowndes","GA","Valdosta",466,122000,0,0.00246507806080526,0.0107705053852527,-0.005005903043245,-0.0145791049858137,"2008-08","2008-Q3",152500,-0.2,"2004-11"
2017-04-30,454,"Comal","TX","San Antonio",467,262700,0.000761904761904762,0.00343773873185638,0.0416336241078509,0.0495235038621842,0.0352409349637888,"2017-04","2017-Q2",262700,0,"2017-04"
2017-04-30,1952,"Ontario","NY","Rochester",468,149000,-0.00401069518716578,-0.00666666666666667,0.0412299091544375,0.0202327846402581,0.0158645060115881,"2017-02","2017-Q1",150000,-0.00666666666666667,"2016-12"
2017-04-30,323,"Vigo","IN","Terre Haute",469,76100,0,0.00263504611330698,-0.00262123197903014,0.00238223981722241,-0.00322712505870659,"2004-12","2004-Q4",94400,-0.19385593220339,"2004-01"
2017-04-30,68,"Bay","MI","Bay City",470,88800,0.00225733634311512,-0.00112485939257593,0.0422535211267606,0.0234044391668282,-0.00766242597534295,"2005-11","2005-Q4",102000,-0.129411764705882,"2001-03"
2017-04-30,493,"Eaton","MI","Lansing",471,141000,0.00930565497494631,0.0352422907488987,0.0706150341685649,0.0530239443718545,-0.00496790120496937,"2005-10","2005-Q4",154900,-0.0897353131052292,"2003-12"
2017-04-30,1678,"Douglas","OR","Roseburg",472,172700,0.0188790560471976,0.0498480243161094,0.118523316062176,0.0517389657642355,0.00252456970727066,"2017-04","2017-Q2",172700,0,"2017-04"
2017-04-30,1411,"Sumter","SC","Sumter",473,86400,-0.00346020761245675,-0.0248306997742664,-0.0136986301369863,0.00445713188484609,,"2016-09","2016-Q3",91200,-0.0526315789473684,"2016-03"
2017-04-30,2640,"Brunswick","NC","Myrtle Beach",474,207900,-0.000961076405574243,0.00192771084337349,0.0374251497005988,0.0278725289319515,-0.0354279241864666,"2007-08","2007-Q3",303200,-0.314313984168865,"2005-04"
2017-04-30,2623,"Ascension","LA","Baton Rouge",475,210700,-0.00378250591016548,0.0228155339805825,0.117771883289125,0.0501132015748549,0.0313103064775451,"2017-03","2017-Q1",211500,-0.00378250591016548,"2017-03"
2017-04-30,1362,"Saline","AR","Little Rock",476,142900,0.00140154169586545,0.00351123595505618,0.0178062678062678,0.0146153994040512,0.016188240923507,"2016-09","2016-Q3",145100,-0.0151619572708477,"2016-07"
2017-04-30,2719,"Henderson","NC","Asheville",477,222700,0.00225022502250225,0.0127330604820373,0.149122807017544,0.0661100550354095,0.0155268931468349,"2017-04","2017-Q2",222700,0,"2017-04"
2017-04-30,1697,"Fayette","GA","Atlanta",478,259200,0.00465116279069767,0.0220820189274448,0.0684253915910965,0.0670212832506216,0.00556802016361102,"2017-04","2017-Q2",259200,0,"2017-04"
2017-04-30,371,"Allen","OH","Lima",479,95500,0.00738396624472574,0.0290948275862069,0.0901826484018265,0.036054680202342,0.00483834125203519,"2017-04","2017-Q2",95500,0,"2017-04"
2017-04-30,1079,"Hardin","KY","Elizabethtown",480,134900,0.000741839762611276,0.00446760982874162,0.0266362252663623,0.011664962704498,0.017333537754854,"2016-09","2016-Q3",135000,-0.000740740740740741,"2016-09"
2017-04-30,1657,"DeKalb","IL","Chicago",481,158500,0.00826972010178117,0.0186375321336761,0.0616208975217683,0.0320057580687956,-0.0177566587550749,"2007-04","2007-Q2",189600,-0.164029535864979,"2004-01"
2017-04-30,3132,"Saint Marys","MD","California-Lexington Park",482,262400,0.000381242851696531,0.00152671755725191,0.0387965162311956,0.0120878635792105,-0.0229867242471694,"2007-05","2007-Q2",331200,-0.207729468599034,"2005-02"
2017-04-30,1007,"Etowah","AL","Gadsden",483,101600,0.00793650793650794,0.0335707019328586,0.109170305676856,0.0289246219136023,0.0107466091573583,"2009-02","2009-Q1",103800,-0.0211946050096339,"2008-10"
2017-04-30,2892,"Bonneville","ID","Idaho Falls",484,143900,0.00139178844815588,0.00699790062981106,0.0635624538063563,0.0354446740928105,0.0222282550627158,"2009-06","2009-Q2",148600,-0.031628532974428,"2008-09"
